 iperf3 -c 192.168.181.214 -t 300
Connecting to host 192.168.181.214, port 5201
[  4] local 192.168.206.92 port 33596 connected to 192.168.181.214 port 5201
[  4] 165.00-166.00 sec   463 MBytes  3.89 Gbits/sec    0   2.58 MBytes       
[  4] 166.00-167.00 sec   541 MBytes  4.54 Gbits/sec    0   2.70 MBytes       
[  4] 167.00-168.00 sec   582 MBytes  4.88 Gbits/sec    0   2.83 MBytes       
[  4] 168.00-169.00 sec   481 MBytes  4.04 Gbits/sec    0   2.95 MBytes       
[  4] 169.00-170.00 sec   490 MBytes  4.11 Gbits/sec    0   3.00 MBytes       
[  4] 170.00-171.00 sec   465 MBytes  3.90 Gbits/sec    0   3.00 MBytes       
[  4] 171.00-172.00 sec   422 MBytes  3.54 Gbits/sec    0   3.00 MBytes       
[  4] 172.00-173.00 sec   454 MBytes  3.80 Gbits/sec    0   3.00 MBytes       
[  4] 173.00-174.00 sec   477 MBytes  4.00 Gbits/sec    0   3.00 MBytes       
[  4] 174.00-175.00 sec   500 MBytes  4.20 Gbits/sec    0   3.00 MBytes       
[  4] 175.00-176.00 sec   460 MBytes  3.86 Gbits/sec    0   3.00 MBytes       
[  4] 176.00-177.00 sec   549 MBytes  4.61 Gbits/sec   51   2.12 MBytes       
[  4] 177.00-178.00 sec   643 MBytes  5.40 Gbits/sec    0   2.34 MBytes       
[  4] 178.00-179.00 sec   469 MBytes  3.93 Gbits/sec    0   2.50 MBytes       
[  4] 179.00-180.00 sec   512 MBytes  4.30 Gbits/sec    0   2.64 MBytes       
[  4] 180.00-181.00 sec   506 MBytes  4.24 Gbits/sec    0   2.76 MBytes       
[  4] 181.00-182.00 sec   464 MBytes  3.89 Gbits/sec    0   2.88 MBytes       
[  4] 182.00-183.00 sec   483 MBytes  4.05 Gbits/sec    0   3.00 MBytes       
[  4] 183.00-184.00 sec   438 MBytes  3.68 Gbits/sec    0   3.00 MBytes       
[  4] 184.00-185.00 sec   561 MBytes  4.71 Gbits/sec  327   2.24 MBytes       
[  4] 185.00-186.00 sec   536 MBytes  4.49 Gbits/sec  155   1.70 MBytes       
[  4] 186.00-187.00 sec   498 MBytes  4.18 Gbits/sec    3   1.46 MBytes       
[  4] 187.00-188.00 sec   489 MBytes  4.10 Gbits/sec    0   1.68 MBytes       
[  4] 188.00-189.00 sec   560 MBytes  4.70 Gbits/sec    0   1.91 MBytes       
[  4] 189.00-190.00 sec   462 MBytes  3.88 Gbits/sec    0   2.08 MBytes       
[  4] 190.00-191.00 sec   536 MBytes  4.49 Gbits/sec    0   2.27 MBytes       
[  4] 191.00-192.00 sec   520 MBytes  4.36 Gbits/sec    2   1.77 MBytes       
[  4] 192.00-193.00 sec   480 MBytes  4.03 Gbits/sec    0   1.96 MBytes       
[  4] 193.00-194.00 sec   452 MBytes  3.79 Gbits/sec    7   1.51 MBytes       
[  4] 194.00-195.00 sec   476 MBytes  3.99 Gbits/sec    0   1.72 MBytes       
[  4] 195.00-196.00 sec   494 MBytes  4.14 Gbits/sec    0   1.92 MBytes       
[  4] 196.00-197.00 sec   486 MBytes  4.08 Gbits/sec    0   2.10 MBytes       
[  4] 197.00-198.00 sec   475 MBytes  3.98 Gbits/sec    0   2.26 MBytes       
[  4] 198.00-199.00 sec   449 MBytes  3.76 Gbits/sec    0   2.40 MBytes       
[  4] 199.00-200.00 sec   432 MBytes  3.63 Gbits/sec    0   2.53 MBytes       
[  4] 200.00-201.00 sec   442 MBytes  3.71 Gbits/sec    0   2.66 MBytes       
[  4] 201.00-202.00 sec   442 MBytes  3.71 Gbits/sec    0   2.78 MBytes       
[  4] 202.00-203.00 sec   440 MBytes  3.69 Gbits/sec    0   2.89 MBytes       
[  4] 203.00-204.00 sec   532 MBytes  4.46 Gbits/sec    0   3.00 MBytes       
[  4] 204.00-205.00 sec   562 MBytes  4.71 Gbits/sec    0   3.00 MBytes       
[  4] 205.00-206.00 sec   456 MBytes  3.83 Gbits/sec   59   1.49 MBytes       
[  4] 206.00-207.00 sec   448 MBytes  3.76 Gbits/sec   11   1.31 MBytes       
[  4] 207.00-208.00 sec   448 MBytes  3.76 Gbits/sec    0   1.55 MBytes       
[  4] 208.00-209.00 sec   456 MBytes  3.82 Gbits/sec    0   1.75 MBytes       
[  4] 209.00-210.00 sec   468 MBytes  3.93 Gbits/sec    0   1.93 MBytes       
